division,subdivision,group,class
"Agriculture, Forestry and Fishing",Agriculture,Nursery and Floriculture Production,Nursery Production (Under Cover)
"Agriculture, Forestry and Fishing",Agriculture,Nursery and Floriculture Production,Nursery Production (Outdoors)
"Agriculture, Forestry and Fishing",Agriculture,Nursery and Floriculture Production,Turf Growing
"Agriculture, Forestry and Fishing",Agriculture,Nursery and Floriculture Production,Floriculture Production (Under Cover)
"Agriculture, Forestry and Fishing",Agriculture,Nursery and Floriculture Production,Floriculture Production (Outdoors)
"Agriculture, Forestry and Fishing",Agriculture,Mushroom and Vegetable Growing,Mushroom Growing
"Agriculture, Forestry and Fishing",Agriculture,Mushroom and Vegetable Growing,Vegetable Growing (Under Cover)
"Agriculture, Forestry and Fishing",Agriculture,Mushroom and Vegetable Growing,Vegetable Growing (Outdoors)
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Grape Growing
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Kiwifruit Growing
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Berry Fruit Growing
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Apple and Pear Growing
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Stone Fruit Growing
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Citrus Fruit Growing
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Olive Growing
"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Other Fruit and Tree Nut Growing
"Agriculture, Forestry and Fishing",Agriculture,"Sheep, Beef Cattle and Grain Farming",Sheep Farming (Specialised)
"Agriculture, Forestry and Fishing",Agriculture,"Sheep, Beef Cattle and Grain Farming",Beef Cattle Farming (Specialised)
"Agriculture, Forestry and Fishing",Agriculture,"Sheep, Beef Cattle and Grain Farming",Beef Cattle Feedlots (Specialised)
"Agriculture, Forestry and Fishing",Agriculture,"Sheep, Beef Cattle and Grain Farming",Sheep-Beef Cattle Farming
"Agriculture, Forestry and Fishing",Agriculture,"Sheep, Beef Cattle and Grain Farming",Grain-Sheep or Grain-Beef Cattle Farming
"Agriculture, Forestry and Fishing",Agriculture,"Sheep, Beef Cattle and Grain Farming",Rice Growing
"Agriculture, Forestry and Fishing",Agriculture,"Sheep, Beef Cattle and Grain Farming",Other Grain Growing
"Agriculture, Forestry and Fishing",Agriculture,Other Crop Growing,Sugar Cane Growing
"Agriculture, Forestry and Fishing",Agriculture,Other Crop Growing,Cotton Growing
"Agriculture, Forestry and Fishing",Agriculture,Other Crop Growing,Other Crop Growing n.e.c.
"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming
"Agriculture, Forestry and Fishing",Agriculture,Poultry Farming,Poultry Farming (Meat)
"Agriculture, Forestry and Fishing",Agriculture,Poultry Farming,Poultry Farming (Eggs)
"Agriculture, Forestry and Fishing",Agriculture,Deer Farming,Deer Farming
"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Horse Farming
"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Pig Farming
"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Beekeeping
"Agriculture, Forestry and Fishing",Agriculture,Other Livestock Farming,Other Livestock Farming n.e.c.
"Agriculture, Forestry and Fishing",Aquaculture,Aquaculture,Offshore Longline and Rack Aquaculture
"Agriculture, Forestry and Fishing",Aquaculture,Aquaculture,Offshore Caged Aquaculture
"Agriculture, Forestry and Fishing",Aquaculture,Aquaculture,Onshore Aquaculture
"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Forestry
"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Fishing,Rock Lobster and Crab Potting
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Fishing,Prawn Fishing
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Fishing,Line Fishing
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Fishing,"Fish Trawling, Seining and Netting"
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Fishing,Other Fishing
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Hunting and Trapping,Hunting and Trapping
"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Forestry Support Services,Forestry Support Services
"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Cotton Ginning
"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Shearing Services
"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services
Mining,Coal Mining,Coal Mining,Coal Mining
Mining,Oil and Gas Extraction,Oil and Gas Extraction,Oil and Gas Extraction
Mining,Metal Ore Mining,Metal Ore Mining,Iron Ore Mining
Mining,Metal Ore Mining,Metal Ore Mining,Bauxite Mining
Mining,Metal Ore Mining,Metal Ore Mining,Copper Ore Mining
Mining,Metal Ore Mining,Metal Ore Mining,Gold Ore Mining
Mining,Metal Ore Mining,Metal Ore Mining,Mineral Sand Mining
Mining,Metal Ore Mining,Metal Ore Mining,Nickel Ore Mining
Mining,Metal Ore Mining,Metal Ore Mining,Silver-Lead-Zinc Ore Mining
Mining,Metal Ore Mining,Metal Ore Mining,Other Metal Ore Mining
Mining,Non-Metallic Mineral Mining and Quarrying,Construction Material Mining,Gravel and Sand Quarrying
Mining,Non-Metallic Mineral Mining and Quarrying,Construction Material Mining,Other Construction Material Mining
Mining,Non-Metallic Mineral Mining and Quarrying,Other Non-Metallic Mineral Mining and Quarrying,Other Non-Metallic Mineral Mining and Quarrying
Mining,Exploration and Other Mining Support Services,Exploration,Petroleum Exploration
Mining,Exploration and Other Mining Support Services,Exploration,Mineral Exploration
Mining,Exploration and Other Mining Support Services,Other Mining Support Services,Other Mining Support Services
Manufacturing,Food Product Manufacturing,Meat and Meat Product Manufacturing,Meat Processing
Manufacturing,Food Product Manufacturing,Meat and Meat Product Manufacturing,Poultry Processing
Manufacturing,Food Product Manufacturing,Meat and Meat Product Manufacturing,Cured Meat and Smallgoods Manufacturing
Manufacturing,Food Product Manufacturing,Seafood Processing,Seafood Processing
Manufacturing,Food Product Manufacturing,Dairy Product Manufacturing,Milk and Cream Processing
Manufacturing,Food Product Manufacturing,Dairy Product Manufacturing,Ice Cream Manufacturing
Manufacturing,Food Product Manufacturing,Dairy Product Manufacturing,Cheese and Other Dairy Product Manufacturing
