class,occupation,gender,employment_status,number_of_employees
Other Agriculture and Fishing Support Services,CEO/Head of Business in Australia,Female,Full-time permanent,1
Other Agriculture and Fishing Support Services,CEO/Head of Business in Australia,Male,Full-time contract,2
Other Agriculture and Fishing Support Services,CEO/Head of Business in Australia,Male,Full-time permanent,4
Other Agriculture and Fishing Support Services,Key management personnel,Female,Full-time contract,1
Other Agriculture and Fishing Support Services,Key management personnel,Female,Full-time permanent,7
Other Agriculture and Fishing Support Services,Key management personnel,Male,Casual,5
Other Agriculture and Fishing Support Services,Key management personnel,Male,Full-time contract,12
Other Agriculture and Fishing Support Services,Key management personnel,Male,Full-time permanent,33
Other Agriculture and Fishing Support Services,Other executives/general managers,Female,Full-time permanent,4
Other Agriculture and Fishing Support Services,Other executives/general managers,Female,Part-time permanent,1
Other Agriculture and Fishing Support Services,Other executives/general managers,Male,Full-time permanent,33
Other Agriculture and Fishing Support Services,Senior managers,Female,Full-time contract,3
Other Agriculture and Fishing Support Services,Senior managers,Female,Full-time permanent,9
Other Agriculture and Fishing Support Services,Senior managers,Male,Full-time contract,9
Other Agriculture and Fishing Support Services,Senior managers,Male,Full-time permanent,101
Other Agriculture and Fishing Support Services,Other managers,Female,Full-time contract,4
Other Agriculture and Fishing Support Services,Other managers,Female,Full-time permanent,114
Other Agriculture and Fishing Support Services,Other managers,Female,Part-time permanent,7
Other Agriculture and Fishing Support Services,Other managers,Male,Casual,2
Other Agriculture and Fishing Support Services,Other managers,Male,Full-time contract,7
Other Agriculture and Fishing Support Services,Other managers,Male,Full-time permanent,603
Other Agriculture and Fishing Support Services,Other managers,Male,Part-time permanent,1
Other Agriculture and Fishing Support Services,Professionals,Female,Casual,9
Other Agriculture and Fishing Support Services,Professionals,Female,Full-time contract,32
Other Agriculture and Fishing Support Services,Professionals,Female,Full-time permanent,224
Other Agriculture and Fishing Support Services,Professionals,Female,Part-time contract,2
Other Agriculture and Fishing Support Services,Professionals,Female,Part-time permanent,35
Other Agriculture and Fishing Support Services,Professionals,Male,Casual,12
Other Agriculture and Fishing Support Services,Professionals,Male,Full-time contract,38
Other Agriculture and Fishing Support Services,Professionals,Male,Full-time permanent,412
Other Agriculture and Fishing Support Services,Professionals,Male,Part-time contract,1
Other Agriculture and Fishing Support Services,Professionals,Male,Part-time permanent,4
Other Agriculture and Fishing Support Services,Technicians and trades,Female,Casual,27
Other Agriculture and Fishing Support Services,Technicians and trades,Female,Full-time contract,4
